"sim","name","k.studies","k.species","mu","sigma2.n","sigma2.p","sigma2.s","sigma2.u","rho","save_location","job_number","scenario"
46,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1146,12
47,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1147,12
48,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1148,12
49,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1149,12
50,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1150,12
51,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1151,12
52,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1152,12
53,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1153,12
54,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1154,12
55,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1155,12
56,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1156,12
57,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1157,12
58,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1158,12
59,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1159,12
60,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1160,12
61,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1161,12
62,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1162,12
63,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1163,12
64,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1164,12
65,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1165,12
66,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1166,12
67,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1167,12
68,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1168,12
69,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1169,12
70,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1170,12
71,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1171,12
72,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1172,12
73,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1173,12
74,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1174,12
75,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1175,12
76,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1176,12
77,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1177,12
78,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1178,12
79,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1179,12
80,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1180,12
81,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1181,12
82,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1182,12
83,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1183,12
84,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1184,12
85,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1185,12
86,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1186,12
87,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1187,12
88,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1188,12
89,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1189,12
90,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1190,12
91,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1191,12
92,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1192,12
93,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1193,12
94,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1194,12
95,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1195,12
96,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1196,12
97,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1197,12
98,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1198,12
99,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1199,12
100,"study2",50,40,0.2,0.3,0.3,0.3,0.05,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1200,12
1,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1201,13
2,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1202,13
3,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1203,13
4,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1204,13
5,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1205,13
6,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1206,13
7,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1207,13
8,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1208,13
9,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1209,13
10,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1210,13
11,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1211,13
12,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1212,13
13,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1213,13
14,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1214,13
15,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1215,13
16,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1216,13
17,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1217,13
18,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1218,13
19,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1219,13
20,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1220,13
21,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1221,13
22,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1222,13
23,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1223,13
24,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1224,13
25,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1225,13
26,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1226,13
27,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1227,13
28,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1228,13
29,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1229,13
30,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1230,13
31,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1231,13
32,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1232,13
33,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1233,13
34,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1234,13
35,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1235,13
36,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1236,13
37,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1237,13
38,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1238,13
39,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1239,13
40,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1240,13
41,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1241,13
42,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1242,13
43,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1243,13
44,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1244,13
45,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1245,13
46,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1246,13
47,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1247,13
48,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1248,13
49,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1249,13
50,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1250,13
51,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1251,13
52,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1252,13
53,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1253,13
54,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1254,13
55,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1255,13
56,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1256,13
57,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1257,13
58,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1258,13
59,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1259,13
60,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1260,13
61,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1261,13
62,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1262,13
63,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1263,13
64,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1264,13
65,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1265,13
66,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1266,13
67,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1267,13
68,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1268,13
69,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1269,13
70,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1270,13
71,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1271,13
72,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1272,13
73,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1273,13
74,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1274,13
75,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1275,13
76,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1276,13
77,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1277,13
78,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1278,13
79,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1279,13
80,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1280,13
81,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1281,13
82,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1282,13
83,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1283,13
84,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1284,13
85,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1285,13
86,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1286,13
87,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1287,13
88,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1288,13
89,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1289,13
90,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1290,13
91,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1291,13
92,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1292,13
93,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1293,13
94,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1294,13
95,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1295,13
96,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1296,13
97,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1297,13
98,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1298,13
99,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1299,13
100,"study2",20,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1300,13
1,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1301,14
2,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1302,14
3,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1303,14
4,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1304,14
5,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1305,14
6,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1306,14
7,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1307,14
8,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1308,14
9,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1309,14
10,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1310,14
11,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1311,14
12,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1312,14
13,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1313,14
14,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1314,14
15,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1315,14
16,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1316,14
17,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1317,14
18,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1318,14
19,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1319,14
20,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1320,14
21,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1321,14
22,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1322,14
23,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1323,14
24,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1324,14
25,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1325,14
26,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1326,14
27,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1327,14
28,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1328,14
29,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1329,14
30,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1330,14
31,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1331,14
32,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1332,14
33,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1333,14
34,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1334,14
35,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1335,14
36,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1336,14
37,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1337,14
38,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1338,14
39,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1339,14
40,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1340,14
41,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1341,14
42,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1342,14
43,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1343,14
44,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1344,14
45,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1345,14
46,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1346,14
47,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1347,14
48,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1348,14
49,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1349,14
50,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1350,14
51,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1351,14
52,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1352,14
53,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1353,14
54,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1354,14
55,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1355,14
56,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.5,"/srv/scratch/z5394590/phylo_meta_sandwich/",1356,14
