"sim","name","k.studies","k.species","mu","sigma2.n","sigma2.p","sigma2.s","sigma2.u","rho","save_location","job_number","scenario"
83,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",83,1
84,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",84,1
85,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",85,1
86,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",86,1
87,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",87,1
88,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",88,1
89,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",89,1
90,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",90,1
91,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",91,1
92,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",92,1
93,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",93,1
94,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",94,1
95,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",95,1
96,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",96,1
97,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",97,1
98,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",98,1
99,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",99,1
100,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",100,1
1,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",101,2
2,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",102,2
3,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",103,2
4,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",104,2
5,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",105,2
6,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",106,2
7,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",107,2
8,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",108,2
9,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",109,2
10,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",110,2
11,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",111,2
12,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",112,2
13,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",113,2
14,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",114,2
15,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",115,2
16,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",116,2
17,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",117,2
18,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",118,2
19,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",119,2
20,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",120,2
21,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",121,2
22,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",122,2
23,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",123,2
24,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",124,2
25,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",125,2
26,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",126,2
27,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",127,2
28,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",128,2
29,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",129,2
30,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",130,2
31,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",131,2
32,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",132,2
33,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",133,2
34,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",134,2
35,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",135,2
36,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",136,2
37,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",137,2
38,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",138,2
39,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",139,2
40,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",140,2
41,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",141,2
